participantID,Trial,Timestamp,char_count,sentence,sprt
2849,80,1772393803584,3.0,***,5830.0
2849,81,1772393810582,37.0,My husband eats with a good appetite.,6998.0
2849,82,1772393813445,37.0,But I don't think he's really hungry.,2863.0
2849,83,1772393819118,69.0,"He chews, arms on the table, and stares at something across the room.",5673.0
2849,84,1772393822086,30.0,He looks at me and looks away.,2968.0
2849,85,1772393825076,33.0,He wipes his mouth on the napkin.,2989.0
2849,86,1772393827824,30.0,"He shrugs, and goes on eating.",2748.0
2849,87,1772393831357,42.0,"""What are you staring at me for?"" he says.",3533.0
2849,88,1772393835800,45.0,"""What is it?"" he says and lays down his fork.",4443.0
2849,89,1772393839962,42.0,"""Was I staring?"" I say, and shake my head.",4162.0
2849,90,1772393842158,20.0,The telephone rings.,2196.0
2849,91,1772393844709,27.0,"""Don't answer it,"" he says.",2551.0
2849,92,1772393847764,33.0,"""It might be your mother,"" I say.",3055.0
2849,93,1772393850847,25.0,"""Watch and see,"" he says.",3083.0
2849,94,1772393853748,34.0,I pick up the receiver and listen.,2900.0
2849,95,1772393856429,24.0,My husband stops eating.,2681.0
2849,96,1772393860483,46.0,"""What did I tell you?"" he says when I hang up.",4054.0
2849,97,1772393863125,23.0,He starts to eat again.,2642.0
2849,98,1772393866282,36.0,Then throws his napkin on his plate.,3157.0
2849,99,1772393872357,63.0,"He says, ""Goddamn it, why can't people mind their own business?",6075.0
2849,100,1772393875584,41.0,Tell me what I did wrong and I'll listen!,3227.0
2849,101,1772393879135,28.0,I wasn't the only man there.,3550.0
2849,102,1772393882429,37.0,We talked it over and we all decided.,3294.0
2849,103,1772393884673,29.0,We couldn't just turn around.,2244.0
2849,104,1772393887365,32.0,We were five miles from the car.,2692.0
2849,105,1772393889962,34.0,I won't have you passing judgment.,2596.0
2849,106,1772393891992,13.0,"Do you hear?""",2029.0
2849,107,1772393894657,18.0,"""You know,"" I say.",2665.0
2849,108,1772393898700,33.0,"He says, ""What do I know, Claire?",4043.0
2849,109,1772393901297,34.0,Tell me what I'm supposed to know.,2596.0
2849,110,1772393905388,40.0,"I don't know anything except one thing?""",4091.0
2849,111,1772393908694,48.0,He gives me what he thinks is a meaningful look.,3306.0
2849,112,1772393912873,24.0,"""She was dead,"" he says.",4179.0
2849,113,1772393916191,33.0,"""And I'm as sorry as anyone else.",3317.0
2849,114,1772393918993,18.0,"But she was dead.""",2801.0
2849,115,1772393922285,26.0,"""That's the point,"" I say.",3292.0
2849,116,1772393924950,20.0,He raises his hands.,2665.0
2849,117,1772393928249,40.0,He pushes his chair away from the table.,3299.0
2849,118,1772393933054,72.0,He takes out his cigarettes and goes out to the back with a can of beer.,4805.0
2849,119,1772393937824,64.0,I see him sit in the lawn chair and pick up the newspaper again.,4770.0
2849,120,1772393942015,39.0,His name is in there on the first page.,4191.0
2849,121,1772393945586,36.0,Along with the names of his friends.,3571.0
2849,122,1772393949063,40.0,I close my eyes and hold on to the sink.,3477.0
2849,123,1772393956447,74.0,Then I rake my arm across the drainboard and send the dishes to the floor.,7384.0
2849,124,1772393958541,16.0,He doesn't move.,2094.0
2849,125,1772393961061,18.0,I know he's heard.,2520.0
2849,126,1772393964291,40.0,He lifts his head as if still listening.,3230.0
2849,127,1772393967126,30.0,But he doesn't move otherwise.,2835.0
2849,128,1772393969201,23.0,He doesn't turn around.,2075.0
2849,129,1772393971424,3.0,***,2222.0
2849,130,1772393979268,88.0,"He and Gordon Johnson and Mel Dorn and Vern Williams, they play poker and bowl and fish.",7844.0
2849,131,1772393984677,85.0,They fish every spring and early summer before visiting relatives can get in the way.,5409.0
2849,132,1772393989432,65.0,"They are decent men, family men, men who take care of their jobs.",4755.0
2849,133,1772393994315,65.0,"They have sons and daughters who go to school with our son, Dean.",4883.0
2849,134,1772393998927,55.0,Last Friday these family men left for the Naches River.,4612.0
2849,135,1772394003270,76.0,They parked the car in the mountains and hiked to where they wanted to fish.,4343.0
2849,136,1772394008243,76.0,"They carried their bedrolls, their food, their playing cards, their whiskey.",4973.0
2849,137,1772394011738,42.0,They saw the girl before they set up camp.,3494.0
2849,138,1772394014614,19.0,Mel Dorn found her.,2875.0
2849,139,1772394017385,25.0,No clothes on her at all.,2771.0
2849,140,1772394022449,64.0,She was wedged into some branches that stuck out over the water.,5064.0
2849,141,1772394025519,43.0,He called the others and they came to look.,3070.0
2849,142,1772394027905,29.0,They talked about what to do.,2386.0
2849,143,1772394035531,82.0,One of the men - my Stuart didn't say which - said they should start back at once.,7626.0
2849,144,1772394042657,86.0,"The others stirred the sand with their shoes, said they didn't feel inclined that way.",7126.0
2849,145,1772394048565,82.0,"They pleaded fatigue, the late hour, the fact that the girl wasn't going anywhere.",5908.0
2849,146,1772394052431,47.0,In the end they went ahead and set up the camp.,3866.0
2849,147,1772394055833,42.0,They built a fire and drank their whiskey.,3402.0
2849,148,1772394059546,50.0,"When the moon came up, they talked about the girl.",3713.0
2849,149,1772394063910,59.0,Someone said they should -keep the body from drifting away.,4364.0
2849,150,1772394067766,55.0,They took their flashlights and went back to the river.,3856.0
2849,151,1772394072869,66.0,One of the men - it might have been Stuart - waded in and got her.,5103.0
2849,152,1772394076445,53.0,He took her by the fingers and pulled her into shore.,3576.0
2849,153,1772394085400,87.0,He got some nylon cord and tied it to her wrist and then looped the rest around a tree.,8955.0
2849,154,1772394093435,99.0,"The next morning they cooked breakfast, drank coffee, and drank whiskey, and then split up to fish.",8034.0
2849,155,1772394106605,182.0,"That night they cooked fish, cooked potatoes, drank coffee, drank whiskey, then took their cooking things and eating things back down to the river and washed them where the girl was.",13170.0
2849,156,1772394109669,32.0,They played some cards later on.,3064.0
2849,157,1772394115803,55.0,Maybe they played until they couldn't see them anymore.,6134.0
2849,158,1772394118790,28.0,Vern Williams went to sleep.,2987.0
2849,159,1772394121375,28.0,But the others told stories.,2585.0
2849,160,1772394128446,100.0,Gordon Johnson said the trout they'd caught were hard because of the terrible coldness of the water.,7071.0
2849,161,1772394139236,154.0,"The next morning they got up late, drank whiskey, fished a little, took down their tents, rolled their sleeping bags, gathered their stuff, and hiked out.",10790.0
2849,162,1772394142700,41.0,They drove until they got to a telephone.,3463.0
2849,163,1772394148333,86.0,It was Stuart who made the call while the others stood around in the sun and listened.,5632.0
2849,164,1772394151374,32.0,He gave the sheriff their names.,3041.0
2849,165,1772394154557,25.0,They had nothing to hide.,3183.0
2849,166,1772394157159,21.0,They weren't ashamed.,2601.0
2849,167,1772394163535,100.0,They said they'd wait until someone could come for better directions and take down their statements.,6376.0
2849,168,1772394165242,3.0,***,1706.0
2849,169,1772394167880,30.0,I was asleep when he got home.,2638.0
2849,170,1772394171280,46.0,But I woke up when I heard him in the kitchen.,3400.0
2849,171,1772394176445,64.0,I found him leaning against the refrigerator with a can of beer.,5165.0
