participantID,Trial,Timestamp,char_count,sentence,sprt
1458,112,1716296492249,3.0,***,11931.0
1458,113,1716296497512,37.0,My husband eats with a good appetite.,5263.0
1458,114,1716296500281,37.0,But I don't think he's really hungry.,2769.0
1458,115,1716296506153,69.0,"He chews, arms on the table, and stares at something across the room.",5872.0
1458,116,1716296508976,30.0,He looks at me and looks away.,2823.0
1458,117,1716296511559,33.0,He wipes his mouth on the napkin.,2582.0
1458,118,1716296513392,30.0,"He shrugs, and goes on eating.",1833.0
1458,119,1716296516289,42.0,"""What are you staring at me for?"" he says.",2897.0
1458,120,1716296517833,45.0,"""What is it?"" he says and lays down his fork.",1544.0
1458,121,1716296520409,42.0,"""Was I staring?"" I say, and shake my head.",2576.0
1458,122,1716296521224,20.0,The telephone rings.,815.0
1458,123,1716296522128,27.0,"""Don't answer it,"" he says.",904.0
1458,124,1716296523952,33.0,"""It might be your mother,"" I say.",1824.0
1458,125,1716296525217,25.0,"""Watch and see,"" he says.",1264.0
1458,126,1716296526616,34.0,I pick up the receiver and listen.,1399.0
1458,127,1716296528256,24.0,My husband stops eating.,1640.0
1458,128,1716296530408,46.0,"""What did I tell you?"" he says when I hang up.",2152.0
1458,129,1716296531896,23.0,He starts to eat again.,1488.0
1458,130,1716296533352,36.0,Then throws his napkin on his plate.,1456.0
1458,131,1716296535552,63.0,"He says, ""Goddamn it, why can't people mind their own business?",2200.0
1458,132,1716296537759,41.0,Tell me what I did wrong and I'll listen!,2207.0
1458,133,1716296539943,28.0,I wasn't the only man there.,2184.0
1458,134,1716296543592,37.0,We talked it over and we all decided.,3649.0
1458,135,1716296547312,29.0,We couldn't just turn around.,3720.0
1458,136,1716296550456,32.0,We were five miles from the car.,3144.0
1458,137,1716296553679,34.0,I won't have you passing judgment.,3222.0
1458,138,1716296555831,13.0,"Do you hear?""",2152.0
1458,139,1716296557312,18.0,"""You know,"" I say.",1481.0
1458,140,1716296559793,33.0,"He says, ""What do I know, Claire?",2481.0
1458,141,1716296562273,34.0,Tell me what I'm supposed to know.,2480.0
1458,142,1716296564800,40.0,"I don't know anything except one thing?""",2527.0
1458,143,1716296566745,48.0,He gives me what he thinks is a meaningful look.,1945.0
1458,144,1716296569123,24.0,"""She was dead,"" he says.",2378.0
1458,145,1716296571066,33.0,"""And I'm as sorry as anyone else.",1943.0
1458,146,1716296572417,18.0,"But she was dead.""",1351.0
1458,147,1716296573881,26.0,"""That's the point,"" I say.",1464.0
1458,148,1716296575737,20.0,He raises his hands.,1856.0
1458,149,1716296577952,40.0,He pushes his chair away from the table.,2215.0
1458,150,1716296580896,72.0,He takes out his cigarettes and goes out to the back with a can of beer.,2944.0
1458,151,1716296583153,64.0,I see him sit in the lawn chair and pick up the newspaper again.,2256.0
1458,152,1716296584969,39.0,His name is in there on the first page.,1816.0
1458,153,1716296586888,36.0,Along with the names of his friends.,1919.0
1458,154,1716296588889,40.0,I close my eyes and hold on to the sink.,2001.0
1458,155,1716296591641,74.0,Then I rake my arm across the drainboard and send the dishes to the floor.,2751.0
1458,156,1716296592641,16.0,He doesn't move.,1000.0
1458,157,1716296593424,18.0,I know he's heard.,783.0
