,1,2,3,4,5,6,7,8,9
pillow,0,2,3,0,2,2,0,0,0
asphalt,0,0,0,1,0,0,2,2,0
river,2,4,0,4,0,0,3,0,3
kite,0,0,0,0,0,0,0,0,0
wine,0,0,0,0,0,0,0,0,0
funeral,1,0,1,0,1,3,0,4,2
fish,0,4,0,3,0,0,0,0,0
candle,0,0,0,0,0,0,0,1,0
soap,1,2,0,0,0,0,0,0,0
jacket,0,1,0,1,0,0,0,0,4
camping,1,4,1,2,0,0,1,0,0
beer,3,1,3,3,0,0,0,0,1
murder,3,4,2,3,2,3,0,4,1
telephone,3,4,3,0,2,1,0,0,0
corpse,2,4,2,2,2,1,1,3,1
clothesline,0,0,1,1,1,1,0,0,1
armfriskvanity,0,0,0,0,0,0,0,0,0
begin,1,0,0,0,0,0,0,0,0
incongruent,2,0,2,1,0,0,0,0,0
funding,0,0,0,0,0,0,0,0,0
corporal,2,2,1,2,3,0,0,3,1
kidd,0,0,0,0,0,0,0,0,0
foil,0,0,0,0,0,0,0,0,0
streight,0,0,0,0,0,0,0,0,0
doing,0,2,1,1,0,0,0,0,0
technician,0,0,0,0,0,0,0,0,0
earpiece,1,0,1,0,0,0,0,0,0
grim reaper,2,3,2,3,3,0,0,3,1
extraterrestrials,0,0,0,0,0,0,0,0,0
metrocard,0,0,0,0,0,0,0,0,0
hags,0,0,0,0,0,0,0,0,0
rebut,2,2,2,2,0,0,0,0,0
sticks,0,3,0,1,0,0,1,0,0
eagle,0,0,0,0,0,0,0,0,0
pesto,0,0,0,0,0,0,0,0,0
waker,0,0,0,0,0,0,0,0,0
noir,1,2,2,1,0,0,0,0,0
dysfunction,3,0,2,2,0,0,0,0,2
typographer,0,0,0,0,0,0,0,0,0
betrayed,3,2,1,2,0,0,0,1,0
nightlight,0,0,0,0,0,0,0,0,0
worst,0,0,0,0,0,3,0,0,0
animals sense,0,0,0,0,0,0,0,0,0
springsteen,0,0,0,0,0,0,0,0,0
goddamn,4,0,0,0,0,0,0,0,0
zinnias,0,0,0,1,0,0,0,0,0
dexter,0,0,0,0,0,0,0,0,0
regardless,1,1,0,0,0,0,0,1,0
equity,0,0,0,0,1,0,0,1,0
air conditioner,0,0,0,0,0,0,0,0,0
chords,0,0,0,0,0,0,0,1,0
circumstances,2,3,1,2,1,0,0,1,0
pvc,0,0,0,0,0,0,0,0,0
palletteharnessshow,0,0,0,0,0,0,0,0,0
drunks,2,4,2,2,0,0,0,0,3
retry,0,0,0,0,0,0,0,0,0
charmer,0,0,0,0,0,0,0,0,0
justin,0,0,0,0,0,0,0,0,0
impulse,3,0,1,1,0,0,0,0,0
cyclo,0,0,0,0,0,0,0,0,0
vertice,0,0,0,0,0,0,0,0,0
metaverse,0,0,0,0,0,0,0,0,0
